Actual_Fare,Predicted_Fare,Actual_Survived,Predicted_Survived
-0.3414522396297103,0.04705779817998823,1,0
-0.4370074380797968,-0.046179632138260596,0,0
-0.4888542575852486,-0.6875594000742764,0,0
0.0160230236183252,0.28999547435806927,1,1
-0.422073540593508,-0.12582480195353152,1,1
0.9391984311231651,0.7214809570411889,1,1
-0.4923778278429006,-0.4537710006909015,1,1
-0.2859972841804228,-0.4435128191290525,0,0
-0.4923778278429006,-0.44739131434591983,1,1
-0.1192156298077981,1.1354214817307482,1,1
0.4207302360686478,0.7188183478566129,0,0
-0.4863374216869257,-0.7003187727642397,0,0
-0.1356576153643619,-0.0990390226065967,0,0
-0.5029485386158568,-0.3730656326120805,0,0
-0.3866707201133388,-0.0488378347820031,0,0
0.1448850216124577,0.9319068828228335,1,1
0.4097407238022106,0.8091507650381666,1,0
-0.4907831606177232,-0.4537710006909015,1,1
-0.3866707201133388,-0.04405307002326686,0,0
0.3985820801634062,0.5925419331540132,0,0
-0.4894421904510968,-0.6896859621892706,0,0
-0.1138457087351363,0.6924438798530392,1,0
-0.4902797934380587,-0.44829317734695473,1,1
-0.4626791642426904,-0.6875594000742764,0,0
-0.356468689333464,-0.6918125243042643,0,0
-0.086663881033249,0.09085607444687382,0,0
-0.0902720169770847,0.9160735896049332,0,0
-0.3866707201133388,0.04681098768703551,1,0
-0.086663881033249,0.09404591761936465,0,0
-0.4902797934380587,-0.6686234929323478,0,1
-0.4894421904510968,-0.6870277595455285,0,0
-0.4923778278429006,-0.5708481083483157,1,1
-0.0303713225969997,0.9224532759499148,0,1
-0.4964047652802172,-0.6670285713461024,0,1
-0.4863374216869257,-0.5935054991914834,1,0
-0.3573908580066095,-0.25051070161071975,0,0
0.0663597415847833,0.69563372302553,1,0
-0.4923778278429006,-0.4537710006909015,1,1
-0.0242463507548411,1.039164567675876,1,1
-0.4894421904510968,-0.6918125243042643,0,0
0.8314778546749452,0.20105679197945436,0,0
-0.5065566745596926,-0.5713841554178976,0,0
-0.4863374216869257,-0.6918125243042643,0,0
-0.4923778278429006,-0.5715455734743593,0,0
-0.3573908580066095,-0.1511467670909854,0,1
0.0437082184998772,0.0508557329383128,0,0
-0.4841568350646187,-0.6870277595455285,0,0
-0.4626791642426904,-0.6891543216605218,0,0
-0.5064721088735089,-0.6896859621892706,0,0
1.6323350375212924,1.3167231010757812,0,0
